,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,time,tol,workers
220,hyperband,1.0351693918966833,27,49,3.7659934477534507,357,,2.520861864089966,,32
221,hyperband,1.3104450131742806,27,49,3.9553092863935944,357,,2.647585153579712,,32
222,hyperband,1.1785695646439085,27,49,3.7798666931779223,357,,2.5301482677459717,,32
223,hyperband,1.2711349112865034,27,49,3.7244371116773536,357,,2.4930450916290283,,32
224,hyperband,1.0103494376534057,27,49,4.070867543794862,357,,2.7249369621276855,,32
225,hyperband,1.129328377519009,27,49,3.7081710430754335,357,,2.482156991958618,,32
226,hyperband,0.9411432443952837,27,49,3.7987813228318674,357,,2.542809247970581,,32
227,hyperband,1.1472231058124247,27,49,4.121674253604437,357,,2.7589457035064697,,32
228,stop_on_plateau,0.9607836764052808,27,13,97.14232224684496,13,10.0,2.3678441047668457,0.01,32
229,stop_on_plateau,1.0406935230975858,27,13,90.90215242826021,13,10.0,2.2157399654388428,0.1,32
230,stop_on_plateau,1.2632690068167443,27,13,91.80764418381911,13,20.0,2.237811326980591,0.01,32
231,stop_on_plateau,1.1549965678885046,27,13,100.63446240547376,13,20.0,2.452965021133423,0.1,32
232,stop_on_plateau,0.9840041753986275,27,13,92.1046623816857,13,40.0,2.245051145553589,0.01,32
233,stop_on_plateau,0.7630108901306497,27,13,91.96541615021535,13,40.0,2.241657018661499,0.1,32
234,stop_on_plateau,1.135006311180551,27,26,52.34531500400641,26,10.0,2.5518341064453125,0.01,32
235,stop_on_plateau,1.166482972222814,27,26,46.76114595853365,26,10.0,2.2796058654785156,0.1,32
236,stop_on_plateau,0.8373893681497374,27,26,52.33511802477714,26,20.0,2.5513370037078857,0.01,32
237,stop_on_plateau,1.192471469026383,27,26,48.5111823448768,26,20.0,2.364920139312744,0.1,32
238,stop_on_plateau,1.2964777072432452,27,26,48.06602673652844,26,40.0,2.3432188034057617,0.01,32
239,stop_on_plateau,1.1057460199378446,27,26,53.361418308355866,26,40.0,2.6013691425323486,0.1,32
240,hyperband,1.7964289764809345,81,143,2.6461005085207807,1581,,7.844034194946289,,32
241,hyperband,1.3630597802850104,81,143,2.5627594669735334,1581,,7.596980094909668,,32
242,hyperband,1.608788044816667,81,143,2.6767918914273747,1581,,7.935014963150024,,32
243,hyperband,1.7739276218015965,81,143,2.6028350212391533,1581,,7.715779066085815,,32
