,alg,best_score_max,best_score_mean,best_score_median,best_score_min,best_score_std,patience,tol,wall_time (min),wall_time (s)
114,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.477663516998291,28.65981101989746
115,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.477663520971934,28.65981125831604
116,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.477663520971934,28.65981125831604
117,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.477663524945577,28.65981149673462
118,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546352704366,41.949278116226196
119,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546511650085,41.94927906990051
120,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546551386515,41.94927930831909
121,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546591122945,41.94927954673767
122,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546591122945,41.94927954673767
123,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546670595805,41.94928002357483
124,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546710332235,41.94928026199341
125,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546710332235,41.94928026199341
126,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546750068665,41.94928050041199
127,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546789805094,41.949280738830566
128,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546829541524,41.949280977249146
129,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546869277954,41.949281215667725
130,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546909014384,41.949281454086304
131,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546909014384,41.949281454086304
132,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546948750814,41.94928169250488
133,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.6991546988487244,41.94928193092346
